currency,bitcoin,cardano,dogecoin,ethereum,solana,date
usd,95539,1.2,0.409553,3698.33,231.12,2024-12-04 14:00:06
usd,95692,1.2,0.411308,3705.2,230.72,2024-12-04 14:10:06
usd,95640,1.19,0.410561,3705.29,230.87,2024-12-04 14:20:07
usd,95799,1.19,0.411362,3714.44,231.51,2024-12-04 14:30:06
usd,96340,1.2,0.415764,3738.89,233.13,2024-12-04 14:40:06
usd,96222,1.2,0.414522,3750.73,232.75,2024-12-04 14:50:07
usd,96299,1.2,0.414745,3771.95,232.99,2024-12-04 15:00:06
usd,96052,1.2,0.414172,3801.61,233.55,2024-12-04 15:10:06
usd,95876,1.2,0.413149,3797.51,233.48,2024-12-04 15:20:07
usd,96128,1.2,0.414376,3817.7,233.95,2024-12-04 15:30:06
usd,96194,1.2,0.41533,3851.09,234.47,2024-12-04 15:40:06
usd,96126,1.2,0.415143,3844.96,234.72,2024-12-04 15:50:07
usd,95831,1.19,0.412831,3828.88,233.86,2024-12-04 16:00:06
usd,95568,1.18,0.411592,3825.66,233.1,2024-12-04 16:10:06
usd,95140,1.17,0.406992,3793.53,230.7,2024-12-04 16:20:07
usd,95112,1.17,0.406398,3786.22,229.26,2024-12-04 16:30:06
usd,95073,1.17,0.406237,3786.4,228.88,2024-12-04 16:40:06
usd,94912,1.16,0.404063,3771.93,227.36,2024-12-04 16:50:07
usd,94974,1.15,0.403339,3766.13,225.94,2024-12-04 17:00:06
usd,94764,1.15,0.403482,3768.97,226.15,2024-12-04 17:10:10
usd,94990,1.15,0.403564,3781.04,225.93,2024-12-04 17:20:07
usd,94916,1.16,0.404407,3788.41,226.28,2024-12-04 17:30:06
usd,95293,1.16,0.406589,3795.32,227.35,2024-12-04 17:40:06
usd,95164,1.16,0.405264,3795.68,227.4,2024-12-04 17:50:07
usd,95603,1.17,0.408498,3817.31,228.98,2024-12-04 18:00:06
usd,95601,1.17,0.409546,3820.3,229.45,2024-12-04 18:10:06
usd,95810,1.17,0.410653,3831.09,230.34,2024-12-04 18:20:07
usd,95713,1.17,0.410199,3822.04,229.56,2024-12-04 18:30:06
usd,95733,1.17,0.410455,3810.66,229.08,2024-12-04 18:40:06
usd,96322,1.18,0.412225,3829.07,230.46,2024-12-04 18:50:07
usd,96180,1.18,0.411647,3821.19,229.89,2024-12-04 19:00:06
usd,96343,1.18,0.413575,3830.45,230.76,2024-12-04 19:10:07
usd,96744,1.19,0.417554,3844.76,232.26,2024-12-04 19:20:07
usd,96555,1.19,0.417076,3835.11,231.86,2024-12-04 19:30:07
usd,96644,1.19,0.417019,3838.47,232.19,2024-12-04 19:40:06
usd,96862,1.19,0.416228,3835.77,232.55,2024-12-04 19:50:07
usd,97136,1.2,0.416937,3842.49,233.04,2024-12-04 20:00:06
usd,97473,1.2,0.417172,3850.53,233.09,2024-12-04 20:10:06
usd,98695,1.21,0.420625,3887.89,235.25,2024-12-04 20:20:07
usd,98943,1.21,0.422453,3892.28,235.87,2024-12-04 20:30:06
usd,98843,1.21,0.421703,3886.34,234.9,2024-12-04 20:40:06
usd,99113,1.2,0.420564,3874.54,233.61,2024-12-04 20:50:07
usd,99303,1.19,0.419273,3871.79,233.16,2024-12-04 21:00:06
usd,98994,1.19,0.422877,3883.02,233.28,2024-12-04 21:10:06
usd,98497,1.2,0.431289,3867.78,233.32,2024-12-04 21:20:07
usd,98667,1.2,0.433308,3875.09,234.03,2024-12-04 21:30:06
usd,98321,1.2,0.426299,3851.94,232.88,2024-12-04 21:40:06
usd,97907,1.19,0.423259,3848.78,231.81,2024-12-04 21:50:06
usd,97859,1.19,0.423057,3844.77,231.07,2024-12-04 22:00:06
