Category: All categories

Time,bitcoin: (Worldwide)
2024-12-04T23,28
2024-12-05T00,23
2024-12-05T01,21
2024-12-05T02,48
2024-12-05T03,100
2024-12-05T04,72
2024-12-05T05,68
2024-12-05T06,68
2024-12-05T07,63
2024-12-05T08,57
2024-12-05T09,54
2024-12-05T10,54
2024-12-05T11,53
2024-12-05T12,48
2024-12-05T13,50
2024-12-05T14,51
2024-12-05T15,49
2024-12-05T16,48
2024-12-05T17,47
2024-12-05T18,47
2024-12-05T19,48
2024-12-05T20,49
2024-12-05T21,48
2024-12-05T22,52
2024-12-05T23,47
2024-12-06T00,41
2024-12-06T01,34
2024-12-06T02,33
2024-12-06T03,30
2024-12-06T04,31
2024-12-06T05,33
2024-12-06T06,32
2024-12-06T07,31
2024-12-06T08,28
2024-12-06T09,28
2024-12-06T10,28
2024-12-06T11,29
2024-12-06T12,30
2024-12-06T13,30
2024-12-06T14,30
2024-12-06T15,32
2024-12-06T16,30
2024-12-06T17,29
2024-12-06T18,35
2024-12-06T19,34
2024-12-06T20,37
2024-12-06T21,35
2024-12-06T22,35
2024-12-06T23,32
2024-12-07T00,29
2024-12-07T01,26
2024-12-07T02,24
2024-12-07T03,24
2024-12-07T04,22
2024-12-07T05,23
2024-12-07T06,22
2024-12-07T07,22
2024-12-07T08,23
2024-12-07T09,22
2024-12-07T10,21
2024-12-07T11,21
2024-12-07T12,22
2024-12-07T13,22
2024-12-07T14,21
2024-12-07T15,21
2024-12-07T16,21
2024-12-07T17,21
2024-12-07T18,23
2024-12-07T19,25
2024-12-07T20,25
2024-12-07T21,26
2024-12-07T22,26
2024-12-07T23,26
2024-12-08T00,25
2024-12-08T01,22
2024-12-08T02,20
2024-12-08T03,21
2024-12-08T04,19
2024-12-08T05,20
2024-12-08T06,19
2024-12-08T07,20
2024-12-08T08,20
2024-12-08T09,19
2024-12-08T10,19
2024-12-08T11,18
2024-12-08T12,18
2024-12-08T13,20
2024-12-08T14,20
2024-12-08T15,19
2024-12-08T16,20
2024-12-08T17,21
2024-12-08T18,22
2024-12-08T19,22
2024-12-08T20,23
2024-12-08T21,24
2024-12-08T22,25
2024-12-08T23,23
2024-12-09T00,23
2024-12-09T01,20
2024-12-09T02,19
2024-12-09T03,19
2024-12-09T04,19
2024-12-09T05,21
2024-12-09T06,19
2024-12-09T07,19
2024-12-09T08,20
2024-12-09T09,20
2024-12-09T10,20
2024-12-09T11,22
2024-12-09T12,21
2024-12-09T13,22
2024-12-09T14,24
2024-12-09T15,25
2024-12-09T16,24
2024-12-09T17,24
2024-12-09T18,25
2024-12-09T19,25
2024-12-09T20,29
2024-12-09T21,37
2024-12-09T22,33
2024-12-09T23,27
2024-12-10T00,27
2024-12-10T01,23
2024-12-10T02,23
2024-12-10T03,24
2024-12-10T04,23
2024-12-10T05,24
2024-12-10T06,22
2024-12-10T07,21
2024-12-10T08,20
2024-12-10T09,19
2024-12-10T10,20
2024-12-10T11,22
2024-12-10T12,21
2024-12-10T13,22
2024-12-10T14,22
2024-12-10T15,25
2024-12-10T16,29
2024-12-10T17,30
2024-12-10T18,30
2024-12-10T19,27
2024-12-10T20,26
2024-12-10T21,28
2024-12-10T22,27
2024-12-10T23,25
2024-12-11T00,25
2024-12-11T01,20
2024-12-11T02,20
2024-12-11T03,19
2024-12-11T04,19
2024-12-11T05,21
2024-12-11T06,19
2024-12-11T07,19
2024-12-11T08,19
2024-12-11T09,19
2024-12-11T10,19
2024-12-11T11,19
2024-12-11T12,20
2024-12-11T13,20
2024-12-11T14,21
2024-12-11T15,24
2024-12-11T16,25
2024-12-11T17,25
2024-12-11T18,23
2024-12-11T19,25
2024-12-11T20,28
2024-12-11T21,28
2024-12-11T22,29
2024-12-11T23,23
